,real,target,preds,lower,upper
06-01-11,20800.0,20800.0,20282.69921875,19665.487266712444,20899.911170787556
06-01-12,21250.0,21250.0,20369.49609375,19810.802991404413,20928.189196095587
06-01-13,21350.0,21350.0,20452.2392578125,19949.407688722433,20955.070826902567
06-01-16,21000.0,21000.0,20316.6337890625,19743.52040919098,20889.74716893402
06-01-17,20150.0,20150.0,20022.830078125,19382.870368708383,20662.789787541617
06-01-18,20150.0,20150.0,19759.1826171875,19108.174562759712,20410.190671615288
06-01-19,21200.0,21200.0,19716.1435546875,19081.89338671118,20350.39372266382
06-01-20,21350.0,21350.0,19786.708984375,19190.088774786414,20383.329193963586
06-01-23,20350.0,20350.0,19801.0478515625,19184.038006126786,20418.057696998214
06-01-24,20250.0,20250.0,19752.931640625,19108.825597762174,20397.037683487826
06-01-25,20000.0,20000.0,19706.4833984375,19073.705330592704,20339.261466282296
06-01-26,19800.0,19800.0,19707.6630859375,19100.641038774316,20314.685133100684
06-01-27,20450.0,20450.0,19646.751953125,19047.376676398817,20246.127229851183
06-01-31,20300.0,20300.0,19424.595703125,18761.292150195983,20087.899256054017
06-02-01,20400.0,20400.0,19174.5693359375,18449.35847542532,19899.78019644968
06-02-02,20700.0,20700.0,19133.2119140625,18401.26122521999,19865.16260290501
06-02-03,20100.0,20100.0,19355.6533203125,18683.91060732846,20027.39603329654
06-02-06,19350.0,19350.0,19577.4814453125,18978.404360219432,20176.558530405568
06-02-07,18550.0,18550.0,19641.7353515625,19001.999883332894,20281.470819792106
06-02-08,17650.0,17650.0,19675.3154296875,18998.20747788428,20352.42338149072
06-02-09,18500.0,18500.0,19835.921875,19198.939126847607,20472.904623152393
06-02-10,18000.0,18000.0,19962.578125,19400.617250524047,20524.538999475953
06-02-13,17600.0,17600.0,19972.5478515625,19375.729521593294,20569.366181531706
06-02-14,18000.0,18000.0,20137.8603515625,19500.02501251716,20775.69569060784
06-02-15,17850.0,17850.0,20570.5146484375,20013.95794532058,21127.07135155442
06-02-16,17000.0,17000.0,21106.3115234375,20674.572480934556,21538.050565940444
06-02-17,17100.0,17100.0,21400.8525390625,20984.061046306822,21817.644031818178
06-02-20,17400.0,17400.0,21314.40234375,20795.188149722464,21833.616537777536
06-02-21,17900.0,17900.0,21006.251953125,20436.149741382695,21576.354164867305
06-02-22,18250.0,18250.0,20800.0419921875,20242.13469273518,21357.94929163982
06-02-23,18400.0,18400.0,20846.1337890625,20341.28062272077,21350.98695540423
06-02-24,18700.0,18700.0,20952.3544921875,20486.376204326538,21418.332780048462
06-02-27,19300.0,19300.0,20862.109375,20339.16491560782,21385.05383439218
06-02-28,19400.0,19400.0,20554.0517578125,19974.81266952074,21133.29084610426
06-03-02,18600.0,18600.0,20338.5537109375,19739.442452949133,20937.664968925867
06-03-03,18300.0,18300.0,20431.1064453125,19877.981575400194,20984.231315224806
06-03-06,18900.0,18900.0,20589.34375,20104.38760058922,21074.29989941078
06-03-07,18900.0,18900.0,20523.3603515625,19983.361014069244,21063.359689055756
06-03-08,18900.0,18900.0,20280.14453125,19671.57993140539,20888.70913109461
06-03-09,18550.0,18550.0,20059.6396484375,19444.074858532575,20675.204438342425
06-03-10,18750.0,18750.0,20030.9482421875,19442.809786653524,20619.086697721476
06-03-13,19000.0,19000.0,20169.80859375,19614.02615962199,20725.59102787801
