,close
17-08-01,37650.0
17-08-02,37050.0
17-08-03,36800.0
17-08-04,36500.0
17-08-07,36300.0
17-08-08,36200.0
17-08-09,37300.0
17-08-10,35900.0
17-08-11,35650.0
17-08-14,35700.0
17-08-16,35050.0
17-08-17,35050.0
17-08-18,35350.0
17-08-21,35350.0
17-08-22,35250.0
17-08-23,34850.0
17-08-24,34800.0
17-08-25,34900.0
17-08-28,35150.0
17-08-29,35100.0
17-08-30,34850.0
17-08-31,34500.0
17-09-01,34450.0
17-09-04,34300.0
17-09-05,34850.0
17-09-06,35250.0
17-09-07,35450.0
17-09-08,35350.0
17-09-11,35950.0
17-09-12,35900.0
17-09-13,34850.0
17-09-14,35500.0
17-09-15,35700.0
17-09-18,35650.0
17-09-19,34850.0
17-09-20,35050.0
17-09-21,34400.0
17-09-22,34400.0
17-09-25,34100.0
17-09-26,34600.0
17-09-27,34700.0
17-09-28,34700.0
17-09-29,35000.0
17-10-10,34750.0
17-10-11,34050.0
17-10-12,34150.0
17-10-13,34250.0
17-10-16,34750.0
17-10-17,34050.0
17-10-18,33850.0
17-10-19,34350.0
17-10-20,34250.0
17-10-23,33900.0
17-10-24,34100.0
17-10-25,33800.0
17-10-26,33850.0
17-10-27,34200.0
17-10-30,34150.0
17-10-31,34300.0
17-11-01,34100.0
17-11-02,34150.0
17-11-03,34500.0
17-11-06,34350.0
17-11-07,34550.0
17-11-08,34650.0
17-11-09,35800.0
17-11-10,35900.0
17-11-13,35700.0
17-11-14,37600.0
17-11-15,37950.0
17-11-16,38200.0
17-11-17,38000.0
17-11-20,38050.0
17-11-21,37700.0
17-11-22,37200.0
17-11-23,37950.0
17-11-24,37500.0
17-11-27,36800.0
17-11-28,37150.0
17-11-29,37350.0
17-11-30,37150.0
17-12-01,36700.0
17-12-04,37250.0
17-12-05,37650.0
17-12-06,37600.0
17-12-07,37900.0
17-12-08,36650.0
17-12-11,36950.0
17-12-12,36950.0
17-12-13,37950.0
17-12-14,38100.0
17-12-15,36750.0
17-12-18,36050.0
17-12-19,35050.0
17-12-20,35000.0
17-12-21,34850.0
17-12-22,34650.0
17-12-26,34900.0
17-12-27,34300.0
17-12-28,34800.0
18-01-02,32050.0
18-01-03,31950.0
18-01-04,31750.0
18-01-05,31200.0
18-01-08,31550.0
18-01-09,31750.0
